"","province_city","province","total_cases","latitude","longitude","elementary_school_count","kindergarten_count","university_count","academy_ratio","elderly_population_ratio","elderly_alone_ratio","nursing_home_count","province_avg_temp","province_avg_precip","province_avg_rel_hum"
"1","Seoul_Gangnam-gu","Seoul",83,37.518421,127.047222,33,38,0,4.18,13.17,4.3,3088,13.0379415347138,1.41461632155907,57.7298416565164
"2","Seoul_Gangdong-gu","Seoul",35,37.530492,127.123837,27,32,0,1.54,14.55,5.4,1023,13.0379415347138,1.41461632155907,57.7298416565164
"3","Seoul_Gangbuk-gu","Seoul",24,37.639938,127.025508,14,21,0,0.67,19.49,8.5,628,13.0379415347138,1.41461632155907,57.7298416565164
"4","Seoul_Gangseo-gu","Seoul",78,37.551166,126.849506,36,56,1,1.17,14.39,5.7,1080,13.0379415347138,1.41461632155907,57.7298416565164
"5","Seoul_Gwanak-gu","Seoul",113,37.47829,126.951502,22,33,1,0.89,15.12,4.9,909,13.0379415347138,1.41461632155907,57.7298416565164
"6","Seoul_Gwangjin-gu","Seoul",17,37.538712,127.082366,22,33,3,1.16,13.75,4.8,723,13.0379415347138,1.41461632155907,57.7298416565164
"7","Seoul_Guro-gu","Seoul",85,37.495632,126.88765,26,34,3,1,16.21,5.7,741,13.0379415347138,1.41461632155907,57.7298416565164
"8","Seoul_Geumcheon-gu","Seoul",32,37.456852,126.895229,18,19,0,0.96,16.15,6.7,475,13.0379415347138,1.41461632155907,57.7298416565164
"9","Seoul_Nowon-gu","Seoul",43,37.654259,127.056294,42,66,6,1.39,15.4,7.4,952,13.0379415347138,1.41461632155907,57.7298416565164
"10","Seoul_Dobong-gu","Seoul",62,37.668952,127.047082,23,26,1,0.95,17.89,7.2,485,13.0379415347138,1.41461632155907,57.7298416565164
"11","Seoul_Dongdaemun-gu","Seoul",38,37.574552,127.039721,21,31,4,1.06,17.26,6.7,832,13.0379415347138,1.41461632155907,57.7298416565164
"12","Seoul_Dongjak-gu","Seoul",53,37.510571,126.963604,21,34,3,1.17,15.85,5.2,762,13.0379415347138,1.41461632155907,57.7298416565164
"13","Seoul_Mapo-gu","Seoul",38,37.566283,126.901644,22,24,2,1.83,14.05,4.9,929,13.0379415347138,1.41461632155907,57.7298416565164
"14","Seoul_Seodaemun-gu","Seoul",36,37.579428,126.936771,19,25,6,1.12,16.77,6.2,587,13.0379415347138,1.41461632155907,57.7298416565164
"15","Seoul_Seocho-gu","Seoul",55,37.483804,127.032693,24,27,1,2.6,13.39,3.8,1465,13.0379415347138,1.41461632155907,57.7298416565164
"16","Seoul_Seongdong-gu","Seoul",49,37.563277,127.036647,21,30,2,0.97,14.76,5.3,593,13.0379415347138,1.41461632155907,57.7298416565164
"17","Seoul_Seongbuk-gu","Seoul",33,37.589562,127.0167,29,49,6,1.02,16.15,6,729,13.0379415347138,1.41461632155907,57.7298416565164
"18","Seoul_Songpa-gu","Seoul",55,37.51462,127.106141,40,51,1,1.65,13.1,4.1,1527,13.0379415347138,1.41461632155907,57.7298416565164
"19","Seoul_Yangcheon-gu","Seoul",71,37.517189,126.866618,30,43,0,2.26,13.55,5.5,816,13.0379415347138,1.41461632155907,57.7298416565164
"20","Seoul_Yeongdeungpo-gu","Seoul",62,37.526505,126.89619,23,39,0,1.21,15.6,5.8,1001,13.0379415347138,1.41461632155907,57.7298416565164
"21","Seoul_Yongsan-gu","Seoul",50,37.532768,126.990021,15,13,1,0.68,16.87,6.5,435,13.0379415347138,1.41461632155907,57.7298416565164
"22","Seoul_Eunpyeong-gu","Seoul",53,37.603481,126.929173,31,44,1,1.09,17,6.5,874,13.0379415347138,1.41461632155907,57.7298416565164
